"","Condition","List","GenderRating","Name","Prompt","He","She","Other","Response","Likeable","Accomplished","Important","SubjID","SubjGenderMale"
"89","first","3A",1.21,"Matthew Brown","science",1,0,0,"He planned his continuing research which was to include alternate criteria and provide further support for his brain imaging use",2,2,2,"Exp3_P231",1
"90","first","3A",3.61,"Stevie Ward","meals",1,0,0,"He is organizing a fund to aid homeless and low-income residents find oddjobs and workable forms of income",1,3,2,"Exp3_P231",1
"91","first","3A",4.22,"Taylor Miller","book",1,0,0,"He toured the United States in a promotion effort",3,2,3,"Exp3_P231",1
"92","first","1B",5.22,"Blair Campbell","politics",1,0,0,"He probably had a great reputation and people would flock to him.",1,2,2,"Exp3_P268",1
"93","first","1B",1.24,"Brian Walker","athlete",0,0,1,"It should still be possible",3,2,2,"Exp3_P268",1
"94","first","1B",5.86,"Elisha Collins","book",0,1,0,"she will still continue recording to make fans happy",2,2,2,"Exp3_P268",1
"95","first","1B",3.75,"Quinn Young","album",1,0,0,"he is eager to make even more books",2,2,2,"Exp3_P268",1
"96","first","1B",6.78,"Rebecca Bell","animals",0,1,0,"she never realized how many animals would come in and she loves to help them find homes",1,1,1,"Exp3_P268",1
"97","first","1B",4.34,"Riley Hill","meals",0,1,0,"she has done a lot for the community",1,2,2,"Exp3_P268",1
"98","first","1B",2.41,"Tommie Brown","science",1,0,0,"he realized he could be more of help to them",2,3,2,"Exp3_P268",1
"99","first","1A",2.12,"Chris Miller","science",0,0,1,"Researchers were amazed at the intricacies of young brains. People were unaware that young people were able to instinctively understand mathematical concepts such as addition subtraction and multiplication.",3,2,2,"Exp3_P27",0
"100","first","1A",5.59,"Jodie Parker","book",0,1,0,"she was catapulted to stardom overnight. From her humble beginnings she was suddenly offered  invitations to exclusive restaurants and soirees.",2,1,3,"Exp3_P27",0
"101","first","1A",4.73,"Kerry Baker","album",0,0,1,"It was 1% luck and 99% skill. Long hours in the recording booth trying to find the right chords and tunes",2,2,3,"Exp3_P27",0
"102","first","1A",6.73,"Mary Cooper","athlete",0,0,1,"it's all luck and the durability of my body that will decide whether I can reach my goals from now",2,2,3,"Exp3_P27",0
"103","first","1A",1.21,"Matthew Smith","animals",1,0,0,"he worked hard to save kittens",3,3,3,"Exp3_P27",0
"104","first","1A",3.61,"Stevie White","politics",0,0,1,"citizens where excited about a new fresh face in politics",3,3,3,"Exp3_P27",0
"105","first","1A",4.22,"Taylor Wright","meals",0,0,1,"the amount of donations to the needy has increased by 50%",1,1,3,"Exp3_P27",0
"106","first","2B",5.22,"Blair Young","animals",0,1,0,"She found herself wanting to expand her horizons with her business",2,2,2,"Exp3_P168",0
"107","first","2B",1.24,"Brian Wright","science",1,0,0,"He felt more confident in his research",3,2,2,"Exp3_P168",0
"108","first","2B",5.86,"Elisha Bell","book",0,1,0,"She felt very uncertain about it",2,2,2,"Exp3_P168",0
"109","first","2B",3.75,"Quinn Brooks","politics",1,0,0,"They praised his efforts",2,2,2,"Exp3_P168",0
"110","first","2B",6.78,"Rebecca King","album",0,1,0,"She was nervous about it",2,2,2,"Exp3_P168",0
"111","first","2B",4.34,"Riley Campbell","athlete",0,0,1,"they were very unsure",2,2,2,"Exp3_P168",0
"112","first","2B",2.41,"Tommie Hill","meals",1,0,0,"He hopes that people will donate",2,2,2,"Exp3_P168",0
"113","first","2A",2.12,"Chris Collins","meals",0,0,1,"They have been able to double their donations this year compared to years prior.",1,4,1,"Exp3_P54",NA
"114","first","2A",5.59,"Jodie Ward","animals",0,1,0,"The amount of cats she has taken in has increased 120%",1,4,1,"Exp3_P54",NA
"115","first","2A",4.73,"Kerry Moore","book",0,1,0,"She began working on a trilogy set of books to follow.",1,1,1,"Exp3_P54",NA
"116","first","2A",6.73,"Mary Brown","politics",0,1,0,"She faced a lot of criticism from town members who felt she didn't address the real issues at hand.",4,4,4,"Exp3_P54",NA
"117","first","2A",1.21,"Matthew Turner","album",1,0,0,"he can't thank his fans enough for pushing it higher up on the trending music charts.",4,4,3,"Exp3_P54",NA
"118","first","2A",3.61,"Stevie Cooper","science",1,0,0,"he was able to find several more people to back his future research on this project giving him the funds he needs to continue the research.",1,1,1,"Exp3_P54",NA
"119","first","2A",4.22,"Taylor Smith","athlete",0,1,0,"she always pushes and tries her hardest and doesn't like to focus on what place she'll get until it is over.",1,1,1,"Exp3_P54",NA
"120","first","3A",2.12,"Chris Young","politics",1,0,0,"He had a difficult time after.",1,1,1,"Exp3_P80",0
"121","first","3A",5.59,"Jodie Cooper","athlete",0,1,0,"She is going to keep running and is excited about it.",1,1,1,"Exp3_P80",0
"122","first","3A",4.73,"Kerry Bell","animals",0,1,0,"She has helped the cats a lot.",1,1,1,"Exp3_P80",0
"123","first","3A",6.73,"Mary Collins","album",0,1,0,"She is very happy about it.",1,1,1,"Exp3_P80",0
"124","first","3A",1.21,"Matthew Brown","science",1,0,0,"He showed the results of the brain scans.",1,1,1,"Exp3_P80",0
"125","first","3A",3.61,"Stevie Ward","meals",1,0,0,"He has helped feed a lot of people in need.",1,1,1,"Exp3_P80",0
"126","first","3A",4.22,"Taylor Miller","book",0,1,0,"She was ready for more.",1,1,1,"Exp3_P80",0
"127","first","3A",2.12,"Chris Young","politics",1,0,0,"He went all in and took over the world",5,5,4,"Exp3_P199",1
"128","first","3A",5.59,"Jodie Cooper","athlete",0,1,0,"IF she wins one more she is the greatest of all time.",5,5,4,"Exp3_P199",1
"129","first","3A",4.73,"Kerry Bell","animals",0,1,0,"She went on to be the president of cat donators ion the world.",5,5,5,"Exp3_P199",1
"130","first","3A",6.73,"Mary Collins","album",0,0,1,"The ballon becomes one with love then descends into greatness.",5,2,3,"Exp3_P199",1
"131","first","3A",1.21,"Matthew Brown","science",1,0,0,"He then decided he would continue with his studies and become the next president of thinking.",3,5,5,"Exp3_P199",1
"132","first","3A",3.61,"Stevie Ward","meals",0,0,1,"When is this underpaid hit gonna end ",3,3,4,"Exp3_P199",1
"133","first","3A",4.22,"Taylor Miller","book",1,0,0,"He became the most hated author of all time.",5,5,5,"Exp3_P199",1
"134","first","2A",2.12,"Chris Collins","meals",1,0,0,"he is familiar with the logistics of how these organizations work.",2,2,3,"Exp3_P120",1
"135","first","2A",5.59,"Jodie Ward","animals",0,0,1,"they have helped control the cat population in their community.",3,3,3,"Exp3_P120",1
"136","first","2A",4.73,"Kerry Moore","book",1,0,0,"he began writing an outline for his next book called Doorknobs.",3,3,3,"Exp3_P120",1
"137","first","2A",6.73,"Mary Brown","politics",0,1,0,"she went to a local restaurant to meet with people in the community.",4,4,4,"Exp3_P120",1
"138","first","2A",1.21,"Matthew Turner","album",0,0,1,"this album really delves deep into the emotional trauma we went through during our childhood. ",4,4,4,"Exp3_P120",1
"139","first","2A",3.61,"Stevie Cooper","science",1,0,0,"he decided to take questions from the audience.",4,4,4,"Exp3_P120",1
"140","first","2A",4.22,"Taylor Smith","athlete",0,0,1,"I am just happy to participate in this competition and give it my best.",4,4,4,"Exp3_P120",1
"141","first","1A",2.12,"Chris Miller","science",1,0,0,"he followed several kids for several years",2,2,3,"Exp3_P141",1
"142","first","1A",5.59,"Jodie Parker","book",0,1,0,"she is working on her next book",3,2,4,"Exp3_P141",1
"143","first","1A",4.73,"Kerry Baker","album",0,0,1,"it was an inspiration that made me record it",3,3,2,"Exp3_P141",1
"144","first","1A",6.73,"Mary Cooper","athlete",0,0,1,"i am inspiried to do my best to win again",2,1,3,"Exp3_P141",1
"145","first","1A",1.21,"Matthew Smith","animals",1,0,0,"he has been overwhelemed with strays",3,3,3,"Exp3_P141",1
"146","first","1A",3.61,"Stevie White","politics",1,0,0,"he met with several supporters",5,6,5,"Exp3_P141",1
"147","first","1A",4.22,"Taylor Wright","meals",0,0,1,"there are more volenteers",2,2,3,"Exp3_P141",1
"148","first","1C",6.24,"Ashley Cook","book",0,1,0,"Ashley went on to start her on charity based on helping people with Leukemia.  She has used her success to promote things which she feels can make a difference in other peoples lives. ",2,2,2,"Exp3_P75",NA
"149","first","1C",2.61,"Emerson Moore","meals",1,0,0,"He has come to love the community in which he serves.  The feeling is mutual as the people Emerson helps really admire and adore him.",1,3,2,"Exp3_P75",NA
"150","first","1C",6.82,"Emily Ward","album",0,1,0,"She owes all her success to her mother.  With out her she would have never been able to achieve the things in life that she has been able to.  ",2,2,3,"Exp3_P75",NA
"151","first","1C",5.34,"Jackie Turner","animals",0,1,0,"She went on to marry a wonderful man by the name of Richard.  Jackie and Richard now have newborn baby by name of Simon.",2,2,2,"Exp3_P75",NA
"152","first","1C",1.28,"James Green","science",1,0,0,"He received a research grant to do another 5 year study on the brains of his current research group.",2,2,1,"Exp3_P75",NA
"153","first","1C",4.39,"Jessie Brooks","athlete",1,0,0,"With his new training regeime anything is possible.  Jessie plans to meet a nutitionalist next week.",3,2,3,"Exp3_P75",NA
"154","first","1C",3.87,"Reese King","politics",1,0,0,"He found out that his wife of 15 years has been cheating on him with his campaine manager.  Reese is devistated and has called off his bid for office.",6,5,6,"Exp3_P75",NA
"155","first","3C",6.24,"Ashley Green","album",0,0,1,"I feel so blessed that the public has embraced my music and I just adore all my fans.",1,1,2,"Exp3_P34",0
"156","first","3C",2.61,"Emerson Baker","animals",0,0,1,"they struggled financially for a short time.",1,2,2,"Exp3_P34",0
"157","first","3C",6.82,"Emily Brooks","politics",0,1,0,"she spoke with local reporters briefly.",1,1,1,"Exp3_P34",0
"158","first","3C",5.34,"Jackie Walker","book",0,1,0,"she didn't undertake a promotional tour stating that she had no idea how successful the book would be.",1,1,2,"Exp3_P34",0
"159","first","3C",1.28,"James White","athlete",1,0,0,"he will be concentrating on doing his best in each event rather than trying for more medals.",2,2,3,"Exp3_P34",0
"160","first","3C",4.39,"Jessie Turner","science",1,0,0,"he reiterated that these are only preliminary findings and said that further studies would be necessary.",1,1,2,"Exp3_P34",0
"161","first","3C",3.87,"Reese Campbell","meals",0,0,1,"volunteers and donations have increased substantially.",2,1,1,"Exp3_P34",0
"162","first","3A",2.12,"Chris Young","politics",1,0,0,"he spent time after the event meeting and greeting with potential voters.",2,3,3,"Exp3_P172",0
"163","first","3A",5.59,"Jodie Cooper","athlete",0,0,1,"they feel good and confident about continuing to run in these upcoming races.",3,1,4,"Exp3_P172",0
"164","first","3A",4.73,"Kerry Bell","animals",0,1,0,"she participated in fostering hundreds of cats.",1,3,2,"Exp3_P172",0
"165","first","3A",6.73,"Mary Collins","album",0,1,0,"she's thrilled the album is doing so well and is excited to see where it takes her.",2,1,3,"Exp3_P172",0
"166","first","3A",1.21,"Matthew Brown","science",1,0,0,"he further elaborated on how they could expand the use of this program.",3,3,1,"Exp3_P172",0
"167","first","3A",3.61,"Stevie Ward","meals",1,0,0,"he's made a major change in the amount of people that have nothing to eat on thanksgiving.",2,3,1,"Exp3_P172",0
"168","first","3A",4.22,"Taylor Miller","book",1,0,0,"he began to think about what he would write about next.",4,1,3,"Exp3_P172",0
"169","first","1A",2.12,"Chris Miller","science",1,0,0,"he followed up with the children in the study for the next several years in order to track their development. ",2,2,3,"Exp3_P227",1
"170","first","1A",5.59,"Jodie Parker","book",0,1,0,"she realized that her days of waiting tables were over. ",2,2,5,"Exp3_P227",1
"171","first","1A",4.73,"Kerry Baker","album",1,0,0,"he's only just getting started and he can't wait to get back into the studio to record his next hit. ",3,2,5,"Exp3_P227",1
"172","first","1A",6.73,"Mary Cooper","athlete",0,1,0,"it's going to be difficult as this is a difficult feat not many have attempted but she is going to try her best. ",3,2,5,"Exp3_P227",1
"173","first","1A",1.21,"Matthew Smith","animals",1,0,0,"the city saw a noticeable decrease in stray cats thanks in part to his trap spay and neuter program.",2,3,4,"Exp3_P227",1
"174","first","1A",3.61,"Stevie White","politics",0,0,1,"a record number of local citizens registered to vote because of the energy from Stevie's campaign. ",4,3,3,"Exp3_P227",1
"175","first","1A",4.22,"Taylor Wright","meals",0,0,1,"these organizations have reported a dramatic increase in volunteers and donations during the holiday seasons. ",2,2,3,"Exp3_P227",1
"176","first","2C",6.24,"Ashley Walker","science",0,0,1,"brain scans of children showed that over time more regions of the brain are activated while trying to complete math problems. As children learned more complex math more parts of the brain had to be engaged to solve problems.",4,6,4,"Exp3_P148",NA
"177","first","2C",2.61,"Emerson Green","athlete",1,0,0,"he hopes his body will hold up and he's very grateful to not have suffered any overuse injuries so far. He acknowledges that many athletes aren't able to accomplish what he has not due to lack of skill but due to ailments that can be out of one's control such as tendinitis. Emerson is keeping his fingers crossed that his body can hold out for these next two competitions but says he won't be too disappointed if a strain injury ends up holding him back.",4,6,4,"Exp3_P148",NA
"178","first","2C",6.82,"Emily Baker","animals",0,1,0,"the decline in the stray cat population was noticeable after only six months. Residents have expressed their appreciation for the program and she has received a sizable amount of money through charitable donations from grateful neighbors. So far Emily has permanently adopted 2 of the cats she has rescue.",7,6,6,"Exp3_P148",NA
"179","first","2C",5.34,"Jackie White","meals",0,1,0,"over 800 homeless people have received a holiday meal each year. Jackie expects that number to grow as the organization receives more donations and is able to reach out to more individuals although ideally she admits it's a grim sign of the growing homeless population.",5,6,6,"Exp3_P148",NA
"180","first","2C",1.28,"James Miller","politics",1,0,0,"residents expressed hopefulness about having a candidate they actually want to vote for. James' lack of partisanship and focus instead on finding insightful long-term and compassionate solutions to problems such as drug use child poverty and income inequality has garnered lots of enthusiasm. His incumbent is likely to lose by a whopping 12 points based on current polling information.",5,5,4,"Exp3_P148",NA
"181","first","2C",4.39,"Jessie Cook","book",0,0,1,"the earnings from the book allowed Jessie to quit their job. Jessie received a deal from a major publishing company to write a second novel although it will be a separate story and not a sequel to Doorways. In an interview last week Jessie was brought to tears discussing their surprise and elation about the success of their book. ",4,5,4,"Exp3_P148",NA
"182","first","2C",3.87,"Reese Parker","album",0,1,0,"most of the success can be attributed to her loving fans. She expressed gratefulness for their loyalty and support throughout the years and she is excited to release her next album for them. She expressed optimism for her career future but said she cares less about topping the charts and more about creating music that makes people happy.",4,4,3,"Exp3_P148",NA
"183","first","3A",2.12,"Chris Young","politics",1,0,0,"He was excited about the community turnout.",2,3,4,"Exp3_P402",NA
"184","first","3A",5.59,"Jodie Cooper","athlete",0,1,0,"She will be running in two more competitions.",4,1,3,"Exp3_P402",NA
"185","first","3A",4.73,"Kerry Bell","animals",0,0,1,"they have saved 400 cats",1,2,3,"Exp3_P402",NA
"186","first","3A",6.73,"Mary Collins","album",0,1,0,"She plans to start recording a fourth album after touring.",4,1,1,"Exp3_P402",NA
"187","first","3A",1.21,"Matthew Brown","science",1,0,0,"He said he plans to follow the same children as their brains develop.",3,2,3,"Exp3_P402",NA
"188","first","3A",3.61,"Stevie Ward","meals",1,0,0,"He has provided meals to lots of homeless people and helped them celebrate holidays.",1,3,3,"Exp3_P402",NA
"189","first","3A",4.22,"Taylor Miller","book",0,0,1,"It became a bestseller.",4,2,3,"Exp3_P402",NA
"190","first","1C",6.24,"Ashley Cook","book",0,1,0,"she achieved fame and fortune",3,2,4,"Exp3_P224",NA
"191","first","1C",2.61,"Emerson Moore","meals",0,0,1,"they've donated thousands of dollars and man hours to the needy",2,2,2,"Exp3_P224",NA
"192","first","1C",6.82,"Emily Ward","album",0,1,0,"it's the best time of her life",3,3,3,"Exp3_P224",NA
"193","first","1C",5.34,"Jackie Turner","animals",0,1,0,"she experienced a total overhaul of her life",2,4,5,"Exp3_P224",NA
"194","first","1C",1.28,"James Green","science",1,0,0,"he continued to do his work",4,4,4,"Exp3_P224",NA
